,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
172873,1146339,trevino s liquors inc,9276.0,liquor,60623.0,2013-03-08,41.83673082682839,-87.72793086609656,2013,Liquor Store
172880,1326248,drop in lounge,2146798.0,liquor,60619.0,2013-03-11,41.75108300779263,-87.61047505956222,2013,Liquor Store
174189,1146376,kedzie liquor,35482.0,liquor,60632.0,2013-04-25,41.79466537919358,-87.70344423431382,2013,Liquor Store
174409,1202325,rite liquors,3283.0,liquore store bar,60622.0,2012-06-21,41.90320537596804,-87.66937146541115,2013,Liquor Store
174949,1146338,miska s,6905.0,liquor,60623.0,2013-03-08,41.844340200981776,-87.72621693173878,2013,Liquor Store
175053,1214496,zen wine   spirits,2137476.0,liquor,60622.0,2012-03-13,41.910449789252766,-87.67271845110511,2013,Liquor Store
177499,1277674,hide out inc,1474.0,liquor,60622.0,2013-01-29,41.91378440726453,-87.66244709996673,2013,Liquor Store
177944,1300921,gomez lounge inc,1922242.0,liquor,60609.0,2012-12-13,41.81575399563499,-87.66585278059576,2013,Liquor Store
178218,1300302,joe s liquor store,49426.0,liquor,60629.0,2012-11-02,41.77909268469035,-87.68778842592324,2013,Liquor Store
178274,1300997,tonic room,1274167.0,liquor,60614.0,2012-12-19,41.92675005562867,-87.64865953821696,2013,Liquor Store
178604,1300988,marty s,1717294.0,liquor,60640.0,2012-12-13,41.97972858218319,-87.66875196215193,2013,Liquor Store
178778,1300299,somewhere in time lounge,1821175.0,liquor,60617.0,2012-11-02,41.700489135362616,-87.5597142553443,2013,Liquor Store
178819,1279257,succezz,2098980.0,liquor,60612.0,2012-10-24,41.88567164152838,-87.68177223280703,2013,Liquor Store
179452,1092280,the public house theatre,2203351.0,liquor,60613.0,2013-01-17,41.9529085373318,-87.66125810838457,2013,Liquor Store
179910,1285495,vishu food   liquor,2152514.0,liquor,60647.0,2012-09-25,41.92459112698313,-87.70886434414017,2013,Liquor Store
179914,1134729,prohibit,2146303.0,tavern liquor,60654.0,2012-11-15,41.89012137600596,-87.63186016746914,2013,Liquor Store
180702,1319229,juke joynt,2134412.0,liquor,60653.0,2012-11-20,41.80932375021602,-87.61325959055534,2013,Liquor Store
181773,1300917,route 43 bar  inc ,2125824.0,liquor,60609.0,2012-12-13,41.81575399563499,-87.66585278059576,2013,Liquor Store
182887,1300928,mirnas  inc ,26177.0,liquor,60609.0,2012-12-14,41.80841570618848,-87.67277103365208,2013,Liquor Store
183125,1285501,republic,55715.0,liquor,60622.0,2012-09-25,41.90970258309405,-87.65117880416885,2013,Liquor Store
183280,1098756,the beer temple,2189283.0,liquor,60618.0,2012-12-13,41.93907999018257,-87.69765351023295,2013,Liquor Store
183656,1188303,240 cafe   lounge,1741971.0,liquor,60625.0,2012-08-01,41.968357068238525,-87.72757835154994,2013,Liquor Store
183832,1234346,beauty bar,9285.0,liquor,60622.0,2012-07-27,41.896231064727615,-87.66422034267339,2013,Liquor Store
184664,1230089,two way loune,1276355.0,liquor,60647.0,2012-07-13,41.92488366892586,-87.70104870385482,2013,Liquor Store
184722,1114396, m  bar,2157235.0,liquor,60601.0,2012-08-07,41.88454011059238,-87.62430852246028,2013,Liquor Store
185651,1285303,green dolphin inc ,2183963.0,liquor,60614.0,2012-09-18,41.92158491136849,-87.66877310760022,2013,Liquor Store
185839,1227539,prestige hoyne liquor,15947.0,liquor,60620.0,2012-08-31,41.75010107633995,-87.67488520394886,2013,Liquor Store
185852,1084372,fire fly events and catering,2162927.0,liquor,60612.0,2012-09-13,41.88743405025222,-87.68184949426895,2013,Liquor Store
186467,1202351,sun shine food   liquor inc,24512.0,liquor,60624.0,2012-07-11,41.866314688484486,-87.7227985037213,2013,Liquor Store
187256,1234526,buy low food   liquors,2162938.0,liquor,60640.0,2012-08-09,41.96897700961856,-87.67069153919947,2013,Liquor Store
187332,1234717,lincoln norabang restaurant,1769506.0,liquor,60625.0,2012-08-20,41.98194878070788,-87.69336920708024,2013,Liquor Store
187361,1229796,family lounge,2137002.0,liquor,60636.0,2012-06-25,41.767300033477646,-87.6543206847795,2013,Liquor Store
187421,1096382,square one lounge,2147307.0,liquor,60605.0,2012-07-10,41.86400154354981,-87.62422572913968,2013,Liquor Store
189309,1219209,miska liquor,46310.0,liquor,60638.0,2012-04-19,41.777778359158,-87.78178694228211,2013,Liquor Store
189348,1098328,revolution beer llc,2142584.0,liquor,60618.0,2012-05-17,41.942172620379935,-87.7078475502974,2013,Liquor Store
189367,1196308,black ensemble theater cultura,2113380.0,liquor,60640.0,2012-05-10,41.96283444151397,-87.66636330699929,2013,Liquor Store
189572,1215176,carmens place,2010.0,liquor,60623.0,2012-05-25,41.84092280954314,-87.707517430604,2013,Liquor Store
190948,1219212,miska s liquor,2138678.0,liquor,60638.0,2012-04-19,41.777778359158,-87.78178694228211,2013,Liquor Store
194281,606542,sd liquor inc ,2129461.0,liquor,60620.0,2012-01-19,41.74694756568641,-87.65378788890766,2013,Liquor Store
194395,659969,old town school of folk music,2098166.0,liquor,60625.0,2012-01-12,41.964372388216674,-87.68560704977685,2013,Liquor Store
196714,679984,osco drug  3632,2137471.0,liquor,60613.0,2012-03-06,41.948004550829744,-87.66418623070139,2013,Liquor Store
3436,1319696,citgo gas station,2036895.0,grocery store,60615.0,2013-08-12,41.80190798861809,-87.62156099431172,2013,Convenience Store/Gas Station
140248,1360877,bjc gas stations inc ,2283907.0,grocery store,60647.0,2013-09-12,41.92437866356742,-87.72645213394472,2013,Convenience Store/Gas Station
156596,1376124,montrose  gas  station,2299469.0,grocery gas station,60634.0,2013-12-18,41.96024250396864,-87.77695589620686,2013,Convenience Store/Gas Station
158238,1228348,clark gas station 1,2009255.0,gas station,60616.0,2013-12-04,41.84554517176753,-87.63841937017723,2013,Convenience Store/Gas Station
162064,1192211,mobile gas station,1649830.0,grocery store,60630.0,2013-09-13,41.97293449423836,-87.77778665200465,2013,Convenience Store/Gas Station
164537,1360711,fullerton pulaski incorporated,2119838.0,grocery service gas station,60647.0,2013-09-05,41.92437866356742,-87.72645213394472,2013,Convenience Store/Gas Station
166778,1146443,55th gas station,2104499.0,grocery store,60632.0,2013-06-25,41.79300647783262,-87.73302576421982,2013,Convenience Store/Gas Station
175696,1072380,marathon gas,2252432.0,grocery store gas station,60620.0,2013-04-25,41.74662206284314,-87.66348933329323,2013,Convenience Store/Gas Station
