,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3253,1369861,JOHNNY O' HAGAN'S,2278258.0,restaurant,2013-10-22,41.94345975463671,-87.65369309468966,2013,Restaurant
3255,1345595,FIESTA GRILL,2009036.0,restaurant,2013-10-22,41.91851166240564,-87.69039442990709,2013,Restaurant
3256,1319838,TAJ MAHAL,1932427.0,restaurant,2013-10-21,41.869401584495904,-87.66467525709314,2013,Restaurant
3259,1106923,I MONELLI TRATTORIA PIZZERIA,2152070.0,restaurant,2013-10-18,41.972911618595504,-87.68890203932801,2013,Restaurant
3260,1369773,HAROLD'S CHICKEN,2232230.0,restaurant,2013-10-17,41.75103563717988,-87.61339828673648,2013,Restaurant
3261,1369763,OSTERIA DE PIZZA METRO,2129491.0,restaurant,2013-10-17,41.93441430311496,-87.64602064547245,2013,Restaurant
3263,1296639,A TAVOLA,45044.0,restaurant,2013-10-16,41.89594582031756,-87.68145004376318,2013,Restaurant
3264,1369720,ELEPHANT & CASTLE,1741988.0,restaurant,2013-10-16,41.88543167061009,-87.626119285512,2013,Restaurant
3265,1296636,BANNER PIZZERIA,2074608.0,restaurant,2013-10-16,41.702845543419045,-87.53584559419713,2013,Restaurant
3267,1228237,HARVEY'S,2288972.0,restaurant,2013-10-15,41.83796853361551,-87.6437022288612,2013,Restaurant
3270,1369604,QUE RICO,34825.0,restaurant,2013-10-10,41.932964216671685,-87.66372953019929,2013,Restaurant
3273,1369592,SMALL WORLD INN,2013453.0,restaurant,2013-10-10,41.70264920626306,-87.54270569807852,2013,Restaurant
3274,1305439,MC DONALD'S,1678527.0,restaurant,2013-10-09,41.789329323265385,-87.74164564419637,2013,Restaurant
3275,1174599,MING CHOY,1355122.0,restaurant,2013-10-08,41.884299993032656,-87.64712646127494,2013,Restaurant
3276,1072592,MEXIQUE,1802986.0,restaurant,2013-10-08,41.89598204592076,-87.66604606950455,2013,Restaurant
3280,1369507,JIMMY,1884675.0,restaurant,2013-10-07,41.89291766772067,-87.62555144373697,2013,Restaurant
3281,1369500,AVENUE TAVERN,1242927.0,restaurant,2013-10-07,41.935358121993126,-87.64438916677103,2013,Restaurant
3282,1367320,BOOM FRIED RICE,6698.0,restaurant,2013-10-07,41.87537501581776,-87.72563428263534,2013,Restaurant
3284,1369451,POMPEI,1843710.0,restaurant,2013-10-04,41.892678418310624,-87.62211888192721,2013,Restaurant
3285,1236020,URU-SWATI,1695019.0,restaurant,2013-10-03,41.99751643797393,-87.69592211008248,2013,Restaurant
3287,1099222,SHAWARMA,1997591.0,restaurant,2013-10-03,41.98207583455508,-87.6931174468912,2013,Restaurant
3288,1369433,COOPER'S,1301621.0,restaurant,2013-10-03,41.93992587298262,-87.66025188109599,2013,Restaurant
3291,1236015,CHINESE LANTERN,13734.0,restaurant,2013-10-01,41.97339650923979,-87.65679874855937,2013,Restaurant
3294,1174592,THE HAPPY CRAB,2269814.0,restaurant,2013-10-01,41.87804963107116,-87.64774147823563,2013,Restaurant
3295,1367305,TASTE BUD BANQUET HALL & RESTAURANT,2003571.0,restaurant,2013-10-01,41.88070919232791,-87.73643717633821,2013,Restaurant
3297,1369328,MATILDA,44826.0,restaurant,2013-09-30,41.938135400887774,-87.65389910021774,2013,Restaurant
3299,1151664,MR. ELOTE,1964624.0,restaurant,2013-09-27,41.75466012439374,-87.74138475860521,2013,Restaurant
3301,1369400,M KAFE,2114128.0,restaurant,2013-09-27,41.990135796294425,-87.65977097752456,2013,Restaurant
3305,1369238,ORGATEA & CAFE,2141323.0,restaurant,2013-09-25,41.98289768257029,-87.71380017511221,2013,Restaurant
3307,1369216,NEW HONG KONG CHEF INC.,1332327.0,restaurant,2013-09-25,41.95701305646824,-87.65476211165321,2013,Restaurant
3311,1361176,DADDY COOL'S,2262425.0,restaurant,2013-09-24,41.9207341319564,-87.6940410939342,2013,Restaurant
3313,1305432,LOS AMANTES,67265.0,restaurant,2013-09-23,41.80753274427624,-87.74290644979058,2013,Restaurant
3314,1367290,VERA'S,2027307.0,restaurant,2013-09-23,41.88049855085285,-87.73567205524651,2013,Restaurant
3315,1361151,SPORTSERVICE SOLDIER FIELD,1354323.0,restaurant,2013-09-23,41.862628294037634,-87.61503109411332,2013,Restaurant
3316,1361140,DONA TORTA,1354422.0,restaurant,2013-09-20,41.937758881866735,-87.66844527293962,2013,Restaurant
3317,1343465,TROPICAL TASTE,1717419.0,restaurant,2013-09-20,41.91017839803487,-87.7105055604854,2013,Restaurant
3318,1361125,SWEET TAMARIND THAI CUISINE,1893203.0,restaurant,2013-09-20,41.93999961847732,-87.65546972706031,2013,Restaurant
